order_id,order_date,customer_id,cohort_month,category,product_name,sku,size,units,gross_revenue,discount,net_sales,product_cost,shipping_cost,payment_fee,returned,return_reason,return_logistics_cost,refund_amount,return_adjusted_profit,city,state,city_tier,channel,inventory_on_hand,stockout_risk,markdown_risk
ORD104110,2025-01-02,C65659,2025-01,Ethnic Wear,Anarkali Dress,ET-ANA-L,L,1,3160.87,614.56,2546.31,1453.19,93.11,54.42,True,Fabric expectation mismatch,134.05,2503.2,-1691.66,Hyderabad,Telangana,Tier 1,Web,163,0.212,0.506
ORD101738,2025-01-02,C61151,2025-01,Accessories,Scarf,AC-SCA-OneSize,One Size,1,1143.95,22.88,1121.07,526.98,94.04,24.53,True,Size too large,140.81,1075.81,-741.1,Jaipur,Rajasthan,Tier 2,App,246,0.434,0.707
ORD104626,2025-01-02,C21262,2025-01,Western Wear,Bodycon Dress,WE-BOD-S,S,1,1834.23,237.44,1596.79,931.2,104.69,35.07,True,Fabric expectation mismatch,144.65,1545.73,-1164.55,Hyderabad,Telangana,Tier 1,Web,124,0.367,0.34
ORD101621,2025-01-02,C53448,2025-01,Western Wear,Denim Jacket,WE-DEN-S,S,1,1555.37,250.35,1305.02,703.36,85.85,23.56,False,Not returned,0.0,0.0,492.25,Surat,Gujarat,Tier 2,App,161,0.322,0.28
ORD107211,2025-01-02,C32158,2025-01,Ethnic Wear,Anarkali Dress,ET-ANA-L,L,1,1877.72,418.81,1458.91,727.2,84.66,34.76,False,Not returned,0.0,0.0,612.29,Bengaluru,Karnataka,Tier 1,App,160,0.261,0.682
ORD107066,2025-01-02,C31375,2025-01,Western Wear,Bodycon Dress,WE-BOD-XL,XL,1,1370.58,222.48,1148.1,627.98,91.22,26.14,False,Not returned,0.0,0.0,402.76,Hyderabad,Telangana,Tier 1,Influencer,62,0.466,0.404
ORD107204,2025-01-02,C11577,2025-01,Ethnic Wear,Saree,ET-SAR-XL,XL,1,2571.51,387.06,2184.45,1081.97,88.87,45.21,False,Not returned,0.0,0.0,968.4,Surat,Gujarat,Tier 2,App,234,0.305,0.662
ORD108837,2025-01-02,C17300,2025-01,Accessories,Sunglasses,AC-SUN-OneSize,One Size,3,2957.25,637.93,2319.32,1096.31,165.63,33.07,False,Not returned,0.0,0.0,1024.31,Chennai,Tamil Nadu,Tier 1,App,218,0.097,0.232
ORD106983,2025-01-02,C98057,2025-01,Activewear,Training Tee,AC-TRA-L,L,1,959.8,168.49,791.31,489.07,80.32,18.36,False,Not returned,0.0,0.0,203.56,Bengaluru,Karnataka,Tier 1,App,198,0.579,0.266
ORD100900,2025-01-02,C74817,2025-01,Activewear,Leggings,AC-LEG-XS,XS,1,1614.02,407.61,1206.41,722.73,84.19,26.36,False,Not returned,0.0,0.0,373.13,Bengaluru,Karnataka,Tier 1,Web,147,0.197,0.143
ORD108629,2025-01-02,C15625,2025-01,Ethnic Wear,Kurta Set,ET-KUR-S,S,1,1707.33,365.79,1341.54,668.62,94.45,29.18,False,Not returned,0.0,0.0,549.29,Chandigarh,Punjab,Tier 2,Retail Partner,64,0.112,0.302
ORD106357,2025-01-02,C30314,2025-01,Activewear,Training Tee,AC-TRA-M,M,1,1203.92,25.54,1178.38,726.73,128.87,27.37,False,Not returned,0.0,0.0,295.41,Jodhpur,Rajasthan,Tier 3,Influencer,170,0.394,0.49
ORD101912,2025-01-02,C48290,2025-01,Western Wear,Denim Jacket,WE-DEN-XL,XL,3,4686.86,1444.67,3242.19,1776.57,180.42,75.95,True,Size too large,247.19,2908.94,-1946.88,Delhi NCR,Delhi,Tier 1,Influencer,200,0.526,0.395
ORD105461,2025-01-02,C50495,2025-01,Western Wear,Denim Jacket,WE-DEN-M,M,1,1174.99,117.1,1057.89,587.47,106.45,16.96,False,Not returned,0.0,0.0,347.01,Pune,Maharashtra,Tier 1,App,131,0.655,0.135
ORD105169,2025-01-02,C87132,2025-01,Accessories,Sunglasses,AC-SUN-OneSize,One Size,1,776.03,105.94,670.09,303.0,106.3,11.37,False,Not returned,0.0,0.0,249.42,Indore,Madhya Pradesh,Tier 2,Web,229,0.207,0.586
ORD103190,2025-01-02,C19630,2025-01,Ethnic Wear,Saree,ET-SAR-XL,XL,1,2289.31,652.65,1636.66,932.02,90.79,31.84,True,Size too large,112.52,1505.66,-1036.17,Mumbai,Maharashtra,Tier 1,App,146,0.21,0.671
ORD101995,2025-01-02,C50347,2025-01,Ethnic Wear,Anarkali Dress,ET-ANA-XXL,XXL,2,3799.08,1268.6,2530.48,1318.48,168.07,47.89,True,Size too large,196.02,2224.35,-1424.33,Ajmer,Rajasthan,Tier 3,App,147,0.468,0.3
ORD106740,2025-01-02,C52114,2025-01,Accessories,Scarf,AC-SCA-OneSize,One Size,2,1085.67,78.71,1006.96,427.03,130.69,14.38,False,Not returned,0.0,0.0,434.86,Kochi,Kerala,Tier 2,Marketplace,89,0.223,0.168
ORD103233,2025-01-02,C67697,2025-01,Western Wear,Crop Top,WE-CRO-XS,XS,1,2312.42,585.13,1727.29,998.74,99.4,24.24,True,Changed mind,136.54,1622.95,-1154.58,Ajmer,Rajasthan,Tier 3,Influencer,299,0.245,0.429
ORD107734,2025-01-03,C51575,2025-01,Beauty,Kajal,BE-KAJ-OneSize,One Size,3,2739.72,555.49,2184.23,1041.76,137.23,50.65,False,Not returned,0.0,0.0,954.59,Mumbai,Maharashtra,Tier 1,Web,206,0.193,0.265
ORD101549,2025-01-03,C72347,2025-01,Footwear,Sneakers,FO-SNE-M,M,1,2901.54,792.15,2109.39,1232.23,86.63,40.6,False,Not returned,0.0,0.0,749.93,Bengaluru,Karnataka,Tier 1,App,165,0.481,0.498
ORD106228,2025-01-03,C29322,2025-01,Accessories,Handbag,AC-HAN-OneSize,One Size,2,1672.87,226.22,1446.65,669.69,105.64,27.84,True,Fabric expectation mismatch,133.46,1360.65,-850.63,Delhi NCR,Delhi,Tier 1,Web,125,0.302,0.783
ORD104597,2025-01-03,C60247,2025-01,Western Wear,Denim Jacket,WE-DEN-M,M,3,5743.99,810.64,4933.35,2925.8,202.76,73.73,True,Size too small,256.61,4763.37,-3288.92,Lucknow,Uttar Pradesh,Tier 2,Influencer,189,0.696,0.385
ORD100380,2025-01-03,C73032,2025-01,Ethnic Wear,Kurta Set,ET-KUR-S,S,2,3222.45,725.99,2496.46,1272.63,147.55,58.13,False,Not returned,0.0,0.0,1018.15,Jodhpur,Rajasthan,Tier 3,Web,238,0.093,0.387
ORD101236,2025-01-03,C47469,2025-01,Footwear,Sneakers,FO-SNE-M,M,1,1602.53,32.05,1570.48,888.57,91.72,35.32,False,Not returned,0.0,0.0,554.87,Pune,Maharashtra,Tier 1,Influencer,250,0.524,0.424
ORD108988,2025-01-03,C37129,2025-01,Footwear,Juttis,FO-JUT-L,L,1,2187.15,459.99,1727.16,1049.22,85.58,29.81,False,Not returned,0.0,0.0,562.55,Surat,Gujarat,Tier 2,App,183,0.406,0.285
ORD105296,2025-01-03,C39137,2025-01,Ethnic Wear,Kurta Set,ET-KUR-M,M,2,3770.34,464.36,3305.98,1866.32,99.09,69.41,False,Not returned,0.0,0.0,1271.16,Lucknow,Uttar Pradesh,Tier 2,App,186,0.151,0.393
ORD103216,2025-01-03,C44616,2025-01,Footwear,Juttis,FO-JUT-L,L,1,2562.41,245.67,2316.74,1267.65,126.25,36.4,False,Not returned,0.0,0.0,886.44,Guntur,Andhra Pradesh,Tier 3,Retail Partner,289,0.208,0.401
ORD102788,2025-01-03,C20744,2025-01,Footwear,Sneakers,FO-SNE-XL,XL,1,1741.72,424.78,1316.94,752.72,86.21,31.24,True,Color mismatch,113.93,1305.16,-972.32,Delhi NCR,Delhi,Tier 1,Retail Partner,216,0.406,0.434
ORD108870,2025-01-03,C11739,2025-01,Ethnic Wear,Kurta Set,ET-KUR-S,S,1,2031.17,536.99,1494.18,803.45,94.37,32.41,False,Not returned,0.0,0.0,563.95,Chandigarh,Punjab,Tier 2,App,214,0.232,0.214
ORD100464,2025-01-03,C29737,2025-01,Western Wear,Crop Top,WE-CRO-XL,XL,1,1284.37,93.28,1191.09,681.65,83.72,26.36,False,Not returned,0.0,0.0,399.36,Bengaluru,Karnataka,Tier 1,App,418,0.494,0.233
ORD100772,2025-01-03,C78656,2025-01,Accessories,Sunglasses,AC-SUN-OneSize,One Size,3,3014.08,300.23,2713.85,1207.65,146.62,53.95,False,Not returned,0.0,0.0,1305.63,Mumbai,Maharashtra,Tier 1,Web,284,0.255,0.305
ORD101293,2025-01-03,C61779,2025-01,Ethnic Wear,Saree,ET-SAR-XL,XL,3,8110.48,1424.01,6686.47,3249.3,165.37,120.91,False,Not returned,0.0,0.0,3150.89,Chennai,Tamil Nadu,Tier 1,Web,166,0.284,0.337
ORD102645,2025-01-03,C30620,2025-01,Activewear,Leggings,AC-LEG-XS,XS,1,993.95,177.71,816.24,445.27,93.63,12.89,False,Not returned,0.0,0.0,264.45,Hyderabad,Telangana,Tier 1,App,222,0.445,0.129
ORD106520,2025-01-03,C73088,2025-01,Western Wear,Crop Top,WE-CRO-S,S,2,4263.78,1029.45,3234.33,1744.41,122.56,65.56,False,Not returned,0.0,0.0,1301.8,Surat,Gujarat,Tier 2,Marketplace,84,0.184,0.412
ORD100845,2025-01-03,C12186,2025-01,Ethnic Wear,Kurta Set,ET-KUR-M,M,1,2035.97,383.65,1652.32,825.11,94.06,26.7,False,Not returned,0.0,0.0,706.45,Pune,Maharashtra,Tier 1,App,215,0.209,0.034
ORD104884,2025-01-03,C16776,2025-01,Footwear,Sneakers,FO-SNE-XS,XS,2,5499.81,685.18,4814.63,2713.04,127.0,93.96,False,Not returned,0.0,0.0,1880.63,Lucknow,Uttar Pradesh,Tier 2,App,0,0.249,0.221
ORD108311,2025-01-03,C66032,2025-01,Activewear,Leggings,AC-LEG-M,M,1,1156.68,27.02,1129.66,642.63,94.14,25.88,True,Damaged item,139.95,989.93,-762.87,Delhi NCR,Delhi,Tier 1,Influencer,258,0.205,0.376
ORD100844,2025-01-03,C99316,2025-01,Western Wear,Denim Jacket,WE-DEN-S,S,1,1481.07,210.26,1270.81,710.35,120.31,29.89,True,Size too small,147.5,1214.61,-951.85,Ajmer,Rajasthan,Tier 3,App,168,0.423,0.348
ORD102400,2025-01-03,C14659,2025-01,Western Wear,Crop Top,WE-CRO-XS,XS,2,3713.43,769.9,2943.53,1784.25,133.04,45.3,True,Size too small,207.49,2616.15,-1842.7,Lucknow,Uttar Pradesh,Tier 2,Influencer,255,0.589,0.286
ORD104054,2025-01-03,C30679,2025-01,Accessories,Handbag,AC-HAN-OneSize,One Size,2,1664.41,43.25,1621.16,712.91,148.98,33.53,False,Not returned,0.0,0.0,725.74,Chandigarh,Punjab,Tier 2,Influencer,84,0.231,0.4
ORD106056,2025-01-03,C99535,2025-01,Western Wear,Wide-leg Jeans,WE-WID-L,L,1,1825.45,301.41,1524.04,861.29,79.6,28.27,True,Size too small,113.63,1336.17,-894.92,Lucknow,Uttar Pradesh,Tier 2,App,93,0.673,0.51
ORD106075,2025-01-03,C60294,2025-01,Activewear,Leggings,AC-LEG-L,L,1,1433.07,272.74,1160.33,811.55,80.57,16.74,True,Changed mind,128.81,1136.94,-1014.28,Mumbai,Maharashtra,Tier 1,Influencer,98,0.359,0.495
ORD102627,2025-01-03,C82246,2025-01,Western Wear,Wide-leg Jeans,WE-WID-L,L,1,2281.36,379.91,1901.45,1046.03,101.2,34.79,False,Not returned,0.0,0.0,719.43,Indore,Madhya Pradesh,Tier 2,Web,156,0.194,0.295
ORD100103,2025-01-04,C65401,2025-01,Activewear,Track Pants,AC-TRA-L,L,1,1272.53,149.82,1122.71,650.93,81.71,16.03,False,Not returned,0.0,0.0,374.04,Mumbai,Maharashtra,Tier 1,App,314,0.184,0.305
ORD100574,2025-01-04,C24884,2025-01,Beauty,Kajal,BE-KAJ-OneSize,One Size,1,519.71,147.15,372.56,177.48,111.29,7.78,False,Not returned,0.0,0.0,76.01,Surat,Gujarat,Tier 2,Marketplace,175,0.545,0.908
ORD106925,2025-01-04,C22120,2025-01,Activewear,Sports Bra,AC-SPO-M,M,1,909.19,106.66,802.53,499.87,98.8,17.07,True,Size too large,143.36,774.74,-731.31,Indore,Madhya Pradesh,Tier 2,Marketplace,106,0.442,0.5
ORD101189,2025-01-04,C91946,2025-01,Accessories,Sunglasses,AC-SUN-OneSize,One Size,1,977.9,313.37,664.53,293.35,83.43,13.13,False,Not returned,0.0,0.0,274.62,Chennai,Tamil Nadu,Tier 1,Influencer,155,0.36,0.147
ORD107726,2025-01-04,C78061,2025-01,Ethnic Wear,Saree,ET-SAR-M,M,1,2500.56,611.44,1889.12,944.29,118.64,39.46,False,Not returned,0.0,0.0,786.73,Mysuru,Karnataka,Tier 3,Influencer,186,0.215,0.278
ORD101278,2025-01-04,C50856,2025-01,Activewear,Track Pants,AC-TRA-XL,XL,1,811.2,176.04,635.16,382.39,81.68,9.22,False,Not returned,0.0,0.0,161.87,Indore,Madhya Pradesh,Tier 2,Web,306,0.257,0.433
ORD104130,2025-01-04,C92306,2025-01,Footwear,Sandals,FO-SAN-XL,XL,2,4596.24,886.37,3709.87,2106.35,120.59,61.06,False,Not returned,0.0,0.0,1421.87,Indore,Madhya Pradesh,Tier 2,Marketplace,347,0.236,0.175
ORD106877,2025-01-04,C62529,2025-01,Western Wear,Denim Jacket,WE-DEN-S,S,2,4027.82,80.56,3947.26,2064.22,138.73,76.86,True,Size too large,222.24,3931.22,-2486.01,Delhi NCR,Delhi,Tier 1,App,148,0.321,0.61
ORD105843,2025-01-04,C75960,2025-01,Beauty,Compact,BE-COM-OneSize,One Size,1,683.75,218.61,465.14,231.27,84.3,10.53,False,Not returned,0.0,0.0,139.04,Pune,Maharashtra,Tier 1,Web,155,0.443,0.295
ORD102201,2025-01-04,C37487,2025-01,Footwear,Sneakers,FO-SNE-S,S,1,3802.42,552.0,3250.42,2074.88,119.99,47.91,False,Not returned,0.0,0.0,1007.64,Guntur,Andhra Pradesh,Tier 3,App,210,0.256,0.274
ORD104767,2025-01-04,C16803,2025-01,Accessories,Sunglasses,AC-SUN-OneSize,One Size,2,2819.23,500.66,2318.57,1110.44,144.87,55.2,False,Not returned,0.0,0.0,1008.06,Indore,Madhya Pradesh,Tier 2,Marketplace,160,0.395,0.093
ORD101174,2025-01-04,C74182,2025-01,Footwear,Sandals,FO-SAN-S,S,1,2228.63,561.24,1667.39,979.55,86.75,23.94,True,Size too small,121.84,1548.91,-1093.6,Chennai,Tamil Nadu,Tier 1,Web,92,0.483,0.38
ORD106154,2025-01-04,C31599,2025-01,Western Wear,Bodycon Dress,WE-BOD-XL,XL,1,1282.59,306.58,976.01,576.71,97.63,19.38,False,Not returned,0.0,0.0,282.29,Jaipur,Rajasthan,Tier 2,Web,221,0.504,0.127
ORD104688,2025-01-04,C86774,2025-01,Activewear,Sports Bra,AC-SPO-L,L,1,1680.5,230.01,1450.49,830.25,91.25,28.52,False,Not returned,0.0,0.0,500.47,Delhi NCR,Delhi,Tier 1,Web,30,0.343,0.386
ORD103398,2025-01-04,C15975,2025-01,Beauty,Serum,BE-SER-OneSize,One Size,1,647.74,133.35,514.39,249.74,82.4,11.74,False,Not returned,0.0,0.0,170.51,Delhi NCR,Delhi,Tier 1,App,217,0.64,0.037
ORD101806,2025-01-04,C65239,2025-01,Activewear,Training Tee,AC-TRA-S,S,1,1047.41,293.4,754.01,466.3,90.59,13.23,False,Not returned,0.0,0.0,183.89,Kochi,Kerala,Tier 2,Web,160,0.385,0.395
ORD105718,2025-01-04,C58766,2025-01,Ethnic Wear,Saree,ET-SAR-M,M,3,7411.07,1070.91,6340.16,3431.0,142.95,116.0,True,Late delivery,157.71,5587.9,-3095.4,Chennai,Tamil Nadu,Tier 1,App,235,0.195,0.449
ORD108561,2025-01-04,C95362,2025-01,Beauty,Kajal,BE-KAJ-OneSize,One Size,2,1681.89,239.33,1442.56,670.06,115.07,20.83,False,Not returned,0.0,0.0,636.6,Pune,Maharashtra,Tier 1,App,266,0.37,0.293
ORD107988,2025-01-04,C69584,2025-01,Accessories,Scarf,AC-SCA-OneSize,One Size,1,951.52,167.38,784.14,345.51,98.85,16.25,False,Not returned,0.0,0.0,323.53,Lucknow,Uttar Pradesh,Tier 2,Web,140,0.115,0.259
ORD100706,2025-01-04,C77110,2025-01,Ethnic Wear,Anarkali Dress,ET-ANA-S,S,2,4303.77,887.05,3416.72,1571.43,124.37,48.11,False,Not returned,0.0,0.0,1672.81,Hyderabad,Telangana,Tier 1,App,186,0.225,0.415
ORD104360,2025-01-04,C78389,2025-01,Ethnic Wear,Kurta Set,ET-KUR-XS,XS,1,1946.38,38.93,1907.45,1027.62,98.5,43.01,False,Not returned,0.0,0.0,738.32,Mysuru,Karnataka,Tier 3,Marketplace,291,0.451,0.474
ORD100302,2025-01-05,C62518,2025-01,Ethnic Wear,Palazzo Set,ET-PAL-L,L,2,3776.47,610.19,3166.28,1622.32,105.69,63.51,False,Not returned,0.0,0.0,1374.76,Chandigarh,Punjab,Tier 2,App,247,0.218,0.495
ORD106590,2025-01-05,C53922,2025-01,Footwear,Heels,FO-HEE-M,M,1,2471.18,691.25,1779.93,1022.0,130.61,34.12,False,Not returned,0.0,0.0,593.2,Jodhpur,Rajasthan,Tier 3,App,41,0.188,0.42
ORD104787,2025-01-05,C75338,2025-01,Footwear,Juttis,FO-JUT-L,L,1,1941.78,263.51,1678.27,961.75,76.25,30.62,False,Not returned,0.0,0.0,609.65,Jaipur,Rajasthan,Tier 2,App,212,0.325,0.161
ORD101762,2025-01-05,C83239,2025-01,Ethnic Wear,Saree,ET-SAR-M,M,1,2129.53,429.31,1700.22,892.26,70.16,30.9,False,Not returned,0.0,0.0,706.9,Chandigarh,Punjab,Tier 2,Web,190,0.691,0.79
ORD106753,2025-01-05,C98395,2025-01,Ethnic Wear,Anarkali Dress,ET-ANA-XL,XL,1,2477.17,53.01,2424.16,1233.57,123.3,51.58,True,Size too large,190.57,2302.32,-1477.18,Mysuru,Karnataka,Tier 3,Web,138,0.047,0.468
ORD107584,2025-01-05,C78695,2025-01,Accessories,Belt,AC-BEL-OneSize,One Size,1,1108.75,22.18,1086.57,421.44,96.79,23.3,False,Not returned,0.0,0.0,545.04,Indore,Madhya Pradesh,Tier 2,Influencer,111,0.365,0.057
ORD102442,2025-01-05,C70890,2025-01,Footwear,Heels,FO-HEE-L,L,1,2575.75,424.89,2150.86,1214.4,135.85,33.94,False,Not returned,0.0,0.0,766.67,Siliguri,West Bengal,Tier 3,Marketplace,280,0.444,0.211
ORD103798,2025-01-05,C58671,2025-01,Ethnic Wear,Palazzo Set,ET-PAL-M,M,1,2339.0,442.15,1896.85,1000.34,98.37,29.93,False,Not returned,0.0,0.0,768.21,Chennai,Tamil Nadu,Tier 1,App,156,0.677,0.194
ORD101531,2025-01-05,C70887,2025-01,Western Wear,Wide-leg Jeans,WE-WID-S,S,1,1265.81,180.6,1085.21,655.11,91.51,18.97,False,Not returned,0.0,0.0,319.62,Surat,Gujarat,Tier 2,App,157,0.553,0.153
ORD101069,2025-01-05,C99190,2025-01,Accessories,Sunglasses,AC-SUN-OneSize,One Size,3,2245.08,394.82,1850.26,863.4,176.97,42.02,False,Not returned,0.0,0.0,767.87,Surat,Gujarat,Tier 2,Retail Partner,83,0.122,0.128
ORD103724,2025-01-05,C52105,2025-01,Western Wear,Denim Jacket,WE-DEN-XL,XL,1,1540.18,311.89,1228.29,687.42,88.21,20.92,False,Not returned,0.0,0.0,431.74,Kochi,Kerala,Tier 2,App,216,0.324,0.152
ORD107968,2025-01-05,C21993,2025-01,Western Wear,Wide-leg Jeans,WE-WID-M,M,1,1371.06,382.2,988.86,566.93,87.61,18.78,False,Not returned,0.0,0.0,315.54,Hyderabad,Telangana,Tier 1,Marketplace,244,0.387,0.328
ORD105602,2025-01-05,C44064,2025-01,Beauty,Compact,BE-COM-OneSize,One Size,1,747.56,40.44,707.12,325.72,118.14,10.19,False,Not returned,0.0,0.0,253.07,Mysuru,Karnataka,Tier 3,Web,49,0.276,0.53
ORD106746,2025-01-06,C19055,2025-01,Western Wear,Wide-leg Jeans,WE-WID-XXL,XXL,1,1653.58,192.51,1461.07,829.37,94.81,28.1,True,Size too large,144.21,1323.37,-958.79,Mumbai,Maharashtra,Tier 1,App,194,0.192,0.228
ORD105077,2025-01-06,C68632,2025-01,Activewear,Track Pants,AC-TRA-XL,XL,1,845.87,187.89,657.98,394.65,73.84,15.65,False,Not returned,0.0,0.0,173.84,Kochi,Kerala,Tier 2,App,265,0.364,0.159
ORD105437,2025-01-06,C18581,2025-01,Western Wear,Crop Top,WE-CRO-L,L,1,1871.74,366.18,1505.56,829.49,86.83,33.12,False,Not returned,0.0,0.0,556.12,Delhi NCR,Delhi,Tier 1,App,178,0.386,0.197
ORD104392,2025-01-06,C63911,2025-01,Activewear,Training Tee,AC-TRA-M,M,2,2939.47,789.27,2150.2,1358.17,141.35,36.25,False,Not returned,0.0,0.0,614.43,Surat,Gujarat,Tier 2,App,195,0.059,0.486
ORD105879,2025-01-06,C93228,2025-01,Ethnic Wear,Palazzo Set,ET-PAL-XS,XS,1,2529.35,188.7,2340.65,1276.31,117.95,36.08,False,Not returned,0.0,0.0,910.31,Jodhpur,Rajasthan,Tier 3,Influencer,105,0.14,0.243
ORD105915,2025-01-06,C50184,2025-01,Beauty,Compact,BE-COM-OneSize,One Size,1,961.58,50.54,911.04,423.53,70.91,14.76,False,Not returned,0.0,0.0,401.84,Delhi NCR,Delhi,Tier 1,Retail Partner,207,0.19,0.291
ORD101681,2025-01-06,C77286,2025-01,Footwear,Juttis,FO-JUT-S,S,1,2683.52,578.29,2105.23,1204.7,89.86,41.08,True,Size too small,129.27,1938.81,-1298.49,Bengaluru,Karnataka,Tier 1,App,165,0.357,0.425
ORD106435,2025-01-06,C64452,2025-01,Ethnic Wear,Anarkali Dress,ET-ANA-XL,XL,1,2695.87,509.34,2186.53,1173.23,95.92,33.72,True,Late delivery,126.62,1916.73,-1159.69,Hyderabad,Telangana,Tier 1,App,142,0.371,0.379
ORD108609,2025-01-06,C78245,2025-01,Ethnic Wear,Palazzo Set,ET-PAL-L,L,1,1178.15,223.78,954.37,538.98,92.04,21.91,False,Not returned,0.0,0.0,301.44,Bengaluru,Karnataka,Tier 1,Retail Partner,24,0.505,0.647
ORD106641,2025-01-06,C63808,2025-01,Western Wear,Crop Top,WE-CRO-S,S,1,2126.16,575.08,1551.08,772.42,95.69,23.39,True,Fabric expectation mismatch,152.49,1488.83,-981.74,Delhi NCR,Delhi,Tier 1,Web,68,0.809,0.585
ORD106150,2025-01-06,C20244,2025-01,Activewear,Track Pants,AC-TRA-XS,XS,1,429.74,86.37,343.37,193.85,87.82,7.28,False,Not returned,0.0,0.0,54.42,Chennai,Tamil Nadu,Tier 1,Retail Partner,247,0.378,0.472
